ACDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/1/2015,34,23,13,14,8,3,77,39,8,1012,1010,1008,31,31,31,32,11,,0,,,146
1/2/2015,42,31,21,14,0,-12,47,15,4,1009,1006,1004,31,31,31,32,16,,0,,,5
1/3/2015,36,29,22,19,11,4,69,37,9,1013,1007,1003,31,16,10,42,14,60,0,3,,207
1/4/2015,29,23,17,14,11,7,73,47,15,1016,1015,1013,31,15,10,32,24,,0,1,,144
1/5/2015,34,25,16,12,9,6,68,37,12,1016,1014,1013,31,28,26,29,16,48,0,,,134
1/6/2015,36,28,20,18,11,4,60,34,12,1015,1013,1011,31,30,26,34,19,,0,,,205
1/7/2015,39,31,24,22,15,8,83,40,13,1011,1009,1006,31,14,4,39,14,52,7.87,5,Rain-Thunderstorm,357
1/8/2015,27,23,21,22,20,17,94,77,56,1012,1008,1006,31,12,9,29,16,55,3.05,6,Rain-Thunderstorm,58
1/9/2015,21,18,16,17,14,12,88,74,64,1010,1008,1006,31,13,8,34,21,,4.06,6,Rain-Thunderstorm,135
1/10/2015,19,17,14,15,13,11,94,77,61,1012,1010,1008,31,12,10,34,21,52,2.03,6,Rain,133
1/11/2015,28,21,14,15,14,13,77,60,33,1014,1011,1009,31,13,10,27,21,,0,6,,132
1/12/2015,29,24,19,23,19,15,100,76,44,1010,1006,1002,31,10,3,24,13,,7.11,6,Fog-Rain,165
1/13/2015,22,20,18,22,18,14,100,84,67,1008,1004,1001,26,10,5,39,26,52,0.51,6,Rain,266
1/14/2015,22,19,17,16,12,9,83,59,39,1013,1011,1008,31,12,10,34,29,,0,5,Rain,216
1/15/2015,21,19,16,13,11,8,72,56,41,1014,1013,1011,31,12,10,32,18,,0,4,,196
1/16/2015,23,18,13,15,12,10,88,66,46,1013,1012,1010,31,13,10,34,13,,0,1,,240
1/17/2015,22,19,17,14,11,8,73,56,31,1017,1015,1012,31,13,10,32,23,,0,3,,215
1/18/2015,24,20,16,11,9,7,72,51,30,1019,1017,1015,31,13,10,37,16,47,0,5,,171
1/19/2015,30,22,14,13,9,3,68,44,14,1016,1011,1006,31,31,31,24,14,,0,,,116
1/20/2015,32,26,20,18,9,2,73,38,13,1006,1001,998,31,15,10,42,26,52,0,4,Rain,2
