AEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/1/2015,30,27,24,24,23,22,94,77,58,1016,1014,1012,31,12,10,24,14,,0,2,,40
1/2/2015,29,27,24,22,22,21,83,72,57,1019,1017,1014,31,12,10,29,18,,0,3,Rain,50
1/3/2015,28,27,25,22,21,19,78,71,59,1020,1018,1016,19,11,10,23,16,,0.25,4,Rain,55
1/4/2015,28,26,23,20,18,17,78,62,44,1018,1016,1014,31,11,10,24,14,,0,3,,83
1/5/2015,28,24,22,22,21,19,89,75,54,1016,1015,1013,31,12,6,32,13,,3.05,5,Rain,104
1/6/2015,29,26,23,21,18,16,83,63,43,1018,1016,1014,31,12,9,29,16,,0,4,Rain,111
1/7/2015,26,23,20,22,18,17,94,73,49,1017,1016,1015,31,11,2,23,14,35,3.05,5,Rain,152
1/8/2015,27,22,18,22,19,17,94,73,58,1016,1015,1013,31,12,6,26,13,,0.51,5,Rain,129
1/9/2015,29,24,21,21,20,19,94,73,51,1014,1012,1010,31,13,10,24,13,,0,4,Rain,83
1/10/2015,29,26,23,22,20,19,94,69,48,1013,1012,1010,31,13,10,26,16,,0.25,4,Rain,45
1/11/2015,28,26,23,23,22,21,91,79,58,1012,1010,1008,31,12,10,21,10,,0.25,6,Rain,79
1/12/2015,28,26,23,23,22,21,100,85,65,1010,1008,1007,31,12,6,23,11,,4.06,6,Rain,146
1/13/2015,27,24,22,24,22,20,100,83,64,1010,1008,1007,31,11,4,24,13,,0.51,6,Rain,53
1/14/2015,29,27,24,24,22,19,94,77,51,1008,1005,1003,31,11,4,35,23,,3.05,6,Rain,351
1/15/2015,36,30,24,24,21,14,94,64,20,1005,1003,1001,31,15,10,34,18,48,0,5,,290
1/16/2015,31,27,22,24,22,19,94,74,48,1009,1007,1005,31,13,10,24,13,,0,1,,84
1/17/2015,33,28,23,26,24,22,100,79,45,1010,1008,1005,31,12,10,29,13,,0,1,Fog,9
1/18/2015,34,29,25,26,24,22,94,77,46,1009,1008,1005,26,12,10,27,18,,0,2,,347
1/19/2015,30,26,22,26,22,18,94,75,46,1011,1008,1006,31,12,5,29,11,50,4.06,3,Rain-Thunderstorm,72
1/20/2015,28,24,20,21,19,16,94,72,41,1013,1010,1008,31,12,4,23,14,,0,4,Rain-Thunderstorm,78
1/21/2015,29,26,23,21,19,17,88,66,40,1010,1009,1007,31,13,10,35,14,,1.02,5,Rain,67
1/22/2015,28,25,22,23,21,19,94,77,59,1010,1009,1007,31,11,9,24,13,,2.03,6,Rain,90
1/23/2015,24,22,20,23,21,18,100,94,76,1009,1006,1004,31,7,1,27,14,,69.09,6,Rain,133
1/24/2015,28,24,19,23,21,20,100,83,53,1007,1005,1003,31,10,3,24,14,,1.02,5,Rain,163
1/25/2015,31,26,21,26,23,21,94,83,60,1007,1005,1002,31,11,10,26,10,,0,2,,357
1/26/2015,30,28,25,26,24,22,100,81,66,1008,1006,1004,26,11,10,23,8,,0,4,,106
1/27/2015,29,27,24,22,21,19,83,70,54,1008,1006,1004,31,12,10,23,14,,2.03,5,Rain,108
1/28/2015,26,22,19,21,18,16,94,77,52,1008,1006,1005,31,12,10,21,14,,1.02,6,Rain,184
1/29/2015,27,23,19,19,17,14,78,62,42,1010,1008,1006,31,12,10,23,14,,0,4,Rain,143
1/30/2015,27,23,20,20,19,17,88,70,54,1010,1008,1006,31,13,10,29,16,,0,4,,13
1/31/2015,29,24,19,22,20,17,94,75,58,1008,1006,1003,31,13,10,37,16,40,0,1,Rain-Thunderstorm,3
2/1/2015,31,25,19,22,21,19,95,74,44,1008,1006,1003,31,12,10,24,14,,0,2,,44
2/2/2015,28,25,21,22,19,17,89,69,43,1012,1009,1006,31,13,10,27,16,48,0.51,3,Rain,139
2/3/2015,28,24,21,19,18,16,88,69,39,1012,1011,1009,31,12,10,27,16,35,0,6,Rain,166
