GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/1/2015,28,23,18,19,16,7,88,68,18,1020,1017,1016,10,7,3,21,10,,0,1,,65
1/2/2015,27,23,18,19,14,5,78,58,15,1021,1019,1017,10,10,10,21,10,,0,1,,282
1/3/2015,25,21,17,20,17,10,88,74,28,1021,1019,1017,10,7,4,19,8,,0,1,,214
1/4/2015,25,20,16,18,16,12,100,77,39,1020,1017,1015,10,5,0,21,10,,0,6,Fog,195
1/5/2015,27,22,17,18,14,8,94,61,22,1020,1018,1016,10,6,3,19,10,,0,,,71
1/6/2015,26,22,18,17,13,8,73,54,21,1021,1019,1018,10,9,8,21,10,,0,,,40
1/7/2015,24,20,16,18,16,14,88,73,52,1021,1018,1017,10,6,3,21,8,,0,,,209
1/8/2015,27,22,16,18,13,5,94,65,17,1020,1017,1016,10,6,3,14,10,,0,4,,204
1/9/2015,23,20,17,17,13,7,73,59,31,1020,1017,1016,10,7,3,23,8,,0,2,,265
1/10/2015,27,21,16,18,16,8,88,70,26,1019,1017,1015,10,7,5,23,10,,0,,,131
1/11/2015,24,22,19,18,16,14,78,67,54,1022,1019,1017,10,8,5,21,11,,0,2,,9
1/12/2015,23,21,19,17,14,10,78,61,41,1024,1022,1020,10,9,7,37,23,,0,2,Rain,301
1/13/2015,23,20,16,15,12,8,72,55,31,1024,1022,1020,10,10,10,23,16,,0,2,,330
1/14/2015,24,20,17,11,9,7,63,45,30,1023,1021,1019,10,8,6,23,10,,0,,,20
1/15/2015,25,20,16,13,11,7,68,50,29,1022,1020,1017,10,9,8,26,10,,0,,,38
1/16/2015,26,20,14,16,11,5,69,52,22,1022,1019,1018,10,10,10,16,10,,0,,,264
1/17/2015,25,21,17,17,13,9,78,60,26,1021,1018,1017,10,10,10,26,8,,0,1,,78
1/18/2015,26,22,18,18,16,8,88,67,21,1020,1017,1014,10,9,5,21,11,,0,1,,55
1/19/2015,19,18,17,18,14,9,94,72,45,1017,1015,1013,10,9,5,42,18,61,5.08,3,Rain-Thunderstorm,282
1/20/2015,21,17,12,13,7,3,94,50,23,1020,1016,1014,10,10,8,29,19,,13.97,2,Rain-Thunderstorm,310
1/21/2015,21,17,13,11,8,6,77,54,27,1023,1021,1019,10,10,10,14,8,,0,2,,167
1/22/2015,22,18,14,11,9,5,72,53,23,1025,1023,1021,10,10,10,23,8,,0,,,93
1/23/2015,22,18,14,12,11,8,77,56,32,1023,1021,1018,10,10,10,19,8,,0,,,237
1/24/2015,22,19,15,13,12,9,82,63,39,1022,1020,1019,10,8,4,16,8,,0,1,,164
1/25/2015,24,20,16,14,11,6,82,53,21,1024,1022,1021,10,9,5,23,10,,0,1,,53
1/26/2015,24,21,17,12,10,5,64,48,19,1025,1022,1021,10,10,10,23,10,,0,,,61
1/27/2015,26,21,17,16,12,7,72,54,25,1023,1021,1018,10,9,8,19,8,,0,,,44
1/28/2015,26,21,17,17,13,7,88,62,20,1021,1018,1016,10,7,3,16,8,,0,,,199
1/29/2015,28,22,16,17,10,3,83,48,12,1020,1018,1016,10,8,6,19,10,,0,,,69
1/30/2015,30,23,17,15,11,2,68,45,9,1022,1019,1017,10,10,10,21,10,,0,,,84
1/31/2015,29,23,18,19,10,3,73,40,18,1021,1018,1016,10,10,10,21,11,,0,,,178
2/1/2015,28,23,19,20,15,8,88,59,27,1017,1016,1014,10,10,10,24,11,,0,1,,219
2/2/2015,24,21,17,21,16,13,94,69,48,1018,1015,1014,10,9,8,16,11,,0,1,,237
2/3/2015,25,21,17,19,17,15,88,74,49,1020,1018,1016,10,9,6,21,10,,0,2,,41
2/4/2015,30,24,19,20,16,9,83,66,26,1022,1019,1018,10,9,8,24,13,,0,,,83
2/5/2015,29,24,19,18,16,7,88,63,21,1020,1017,1016,10,9,6,23,13,,0,,,187
2/6/2015,24,20,16,18,16,13,100,75,40,1019,1017,1016,10,7,0,19,10,,0.25,3,Fog,209
2/7/2015,24,21,17,16,15,14,83,69,52,1020,1017,1015,10,10,10,16,11,,0,4,,238
2/8/2015,28,22,17,18,16,7,88,70,23,1018,1016,1014,10,8,5,24,10,,0,,,113
2/9/2015,31,26,20,19,14,4,83,55,11,1019,1016,1014,10,10,10,23,14,,0,,,108
2/10/2015,29,26,22,21,18,14,83,64,36,1021,1017,1016,10,10,10,29,19,,0,2,,98
2/11/2015,30,26,22,19,17,13,78,61,26,1020,1017,1016,10,10,9,24,13,,0,,,74
2/12/2015,32,27,21,17,13,8,73,45,15,1019,1016,1014,10,10,10,26,11,,0,,,75
2/13/2015,31,26,21,16,11,6,61,37,14,1017,1015,1014,10,10,10,27,10,,0,,,77
2/14/2015,33,27,22,19,12,5,69,40,13,1015,1013,1011,10,10,10,23,11,,0,,,73
2/15/2015,29,26,21,21,13,7,78,48,16,1015,1013,1011,10,10,9,21,11,,0,,,233
2/16/2015,30,24,19,20,17,7,96,68,19,1017,1015,1014,10,7,5,14,10,,0,,,238
2/17/2015,32,27,21,18,8,-3,78,38,6,1018,1015,1013,10,9,8,19,8,,0,,,78
2/18/2015,34,28,22,16,7,-1,54,29,7,1015,1013,1011,10,10,10,23,8,,0,,,51
