SAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/1/2015,25,19,14,14,13,11,82,68,44,1022,1019,1017,,,,10,3,37,0,,,357
1/2/2015,28,22,17,16,14,11,88,68,35,1020,1019,1017,,,,3,2,,0,,,47
1/3/2015,28,22,16,16,14,12,88,75,42,1022,1020,1019,,,,8,2,,0,,,334
1/4/2015,31,22,13,14,11,7,88,54,24,1021,1019,1017,,,,8,2,,0,,,219
1/5/2015,31,23,16,16,14,11,88,58,31,1020,1019,1017,,,,6,2,,0,,,321
1/6/2015,31,23,17,17,14,10,88,59,27,1022,1020,1018,,,,6,2,,0,,,344
1/7/2015,29,22,16,16,14,13,94,67,40,1025,1023,1021,,,,8,3,,0,,,47
1/8/2015,28,22,17,15,14,12,88,62,37,1025,1023,1020,,,,6,3,,0,,,277
1/9/2015,27,23,19,16,14,13,83,64,42,1025,1023,1021,,,,8,2,27,0,,,96
1/10/2015,28,22,16,16,14,13,88,62,39,1026,1024,1022,,,,6,3,26,0,,,275
1/11/2015,28,23,18,15,12,9,73,52,32,1024,1022,1021,,,,10,3,,0,,,102
1/12/2015,29,22,15,13,9,4,82,46,23,1024,1022,1019,,,,8,3,,0,,,75
1/13/2015,27,22,17,15,13,9,82,61,34,1021,1020,1017,,,,6,2,,0,,,346
1/14/2015,23,20,17,17,14,12,88,72,56,1023,1021,1019,,,,11,5,,0,,,74
1/15/2015,27,22,17,15,14,13,82,69,42,1023,1021,1019,,,,11,5,34,0,,,64
1/19/2015,26,22,17,15,12,10,72,52,39,1023,1020,1018,,,,8,3,26,0,,,29
1/20/2015,27,21,15,13,11,9,88,59,32,1025,1023,1021,,,,6,3,,0,,,30
1/21/2015,27,20,13,15,12,10,82,64,37,1027,1025,1024,,,,6,2,26,0,,,313
1/22/2015,28,21,15,14,11,7,88,56,26,1028,1026,1024,,,,10,2,,0,,,28
1/23/2015,31,22,13,13,11,6,88,57,23,1026,1023,1020,,,,8,2,,0,,,232
1/24/2015,29,22,16,14,13,11,82,58,33,1023,1021,1018,,,,6,2,,0,,,344
1/25/2015,30,23,16,14,12,10,88,59,29,1023,1020,1016,,,,11,3,,0,,,295
1/26/2015,29,22,16,15,13,10,88,60,32,1023,1021,1020,,,,8,3,,0,,,296
1/27/2015,30,25,18,15,13,11,83,53,35,1023,1021,1018,,,,6,3,,0,,,152
1/28/2015,21,19,17,16,15,14,88,79,64,1022,1021,1019,,,,3,2,,0,,,15
1/29/2015,27,21,15,16,13,11,88,70,37,1024,1022,1019,,,,11,2,,0,,,358
1/30/2015,26,20,15,14,13,11,88,66,42,1024,1022,1019,,,,6,2,,0,,,48
1/31/2015,25,21,17,17,14,13,88,74,50,1022,1020,1018,,,,10,2,,0,,,293
2/1/2015,29,22,15,15,13,6,88,61,23,1019,1016,1012,,,,8,2,,0,,,275
2/2/2015,28,22,17,16,12,6,94,59,28,1015,1014,1011,,,,8,3,,0,,,297
2/3/2015,30,20,11,12,7,4,67,44,20,1015,1014,1012,,,,6,2,,0,,,300
2/4/2015,31,23,16,16,12,4,88,54,19,1016,1015,1013,,,,6,3,,0,,,328
2/5/2015,31,23,15,13,9,3,82,49,19,1017,1015,1013,,,,6,2,,0,,,279
2/6/2015,31,22,14,11,2,-2,59,29,14,1018,1016,1015,,,,10,3,27,0,,,271
2/7/2015,29,21,14,16,11,2,77,55,30,1022,1020,1018,,,,8,2,26,0,,,14
2/8/2015,20,16,14,13,11,11,82,75,64,1023,1021,1020,,,,6,2,,0,,,156
2/9/2015,31,31,31,11,11,10,29,28,27,1020,1020,1020,,,,6,5,,0,,,15
2/10/2015,32,24,17,16,13,9,83,50,24,1023,1022,1020,,,,8,2,,0,,,299
2/11/2015,33,24,17,12,10,6,72,44,18,1025,1022,1020,,,,6,2,,0,,,192
2/12/2015,30,24,19,15,13,11,68,57,33,1026,1023,1020,,,,6,3,,0,,,40
2/13/2015,30,22,15,14,13,11,88,56,31,1022,1020,1017,,,,8,2,,0,,,324
2/14/2015,28,22,17,15,11,0,88,52,24,1019,1017,1014,,,,10,3,,0,,,293
2/15/2015,28,21,14,13,6,0,73,43,20,1019,1016,1015,,,,8,3,,0,,,192
2/16/2015,27,21,15,13,11,8,88,61,30,1023,1021,1019,,,,8,3,,0,,,18
2/17/2015,25,19,13,14,12,11,88,71,44,1024,1022,1020,,,,10,3,,0,,,10
2/18/2015,29,21,14,13,11,6,88,58,26,1023,1021,1019,,,,8,3,,0,,,277
2/19/2015,30,22,15,12,9,6,77,50,23,1022,1020,1018,,,,6,2,,0,,,303
2/20/2015,31,26,20,13,11,7,56,39,22,1022,1019,1018,,,,6,5,,0,,,344
2/21/2015,21,18,16,16,12,10,83,69,56,1022,1021,1019,,,,8,2,,0,,,248
2/22/2015,30,22,15,14,10,7,73,51,25,1025,1023,1021,,,,8,3,,0,,,123
2/23/2015,27,21,15,14,12,10,94,64,34,1028,1026,1024,,,,8,5,,0,,,20
2/24/2015,28,22,16,12,9,7,77,50,30,1026,1023,1019,,,,6,3,,0,,,242
2/25/2015,26,20,14,14,11,9,88,63,36,1021,1019,1016,,,,13,6,45,0,,,282
2/26/2015,27,20,14,12,11,10,82,58,34,1019,1018,1017,,,,11,2,29,0,,,274
2/27/2015,26,21,16,15,12,9,88,61,36,1023,1020,1018,,,,14,2,40,0,,,327
2/28/2015,25,19,14,15,13,10,94,76,39,1022,1021,1019,,,,8,3,29,0,,,105
3/1/2015,25,19,13,14,12,8,94,73,34,1021,1018,1015,,,,6,2,,0,,,267
