AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/1/2015,24,18,12,16,12,11,85,66,36,1017,1014,1011,,,,26,11,,0,8,,-1
1/2/2015,39,27,14,15,9,4,89,42,6,1015,1012,1008,,,,26,16,,0,8,,-1
1/3/2015,39,32,25,18,12,6,52,24,10,1011,1009,1005,,,,50,34,,4.06,8,,-1
1/4/2015,23,20,16,17,13,4,76,56,23,1020,1016,1008,,,,32,19,,0.25,8,,-1
1/5/2015,24,19,13,13,12,10,73,58,40,1021,1020,1019,,,,27,14,,0,8,,-1
1/6/2015,28,22,16,18,16,14,81,64,38,1020,1019,1016,,,,24,11,,0,8,,-1
1/7/2015,38,28,17,18,17,14,90,53,17,1017,1013,1008,6,6,6,32,14,,2.03,8,,-1
1/8/2015,28,24,21,21,19,17,85,67,43,1011,1009,1007,,,,24,13,,0.25,8,,-1
1/9/2015,21,17,13,19,14,11,99,83,65,1013,1010,1007,3,2,2,26,18,,7.11,8,,-1
1/10/2015,19,16,13,13,13,12,93,70,59,1015,1013,1012,,,,16,8,,0,8,,-1
1/11/2015,27,22,17,16,16,14,88,62,42,1016,1014,1013,,,,42,24,,0,8,,-1
1/12/2015,31,22,14,16,14,13,80,52,24,1015,1012,1008,,,,35,19,,0,,,-1
1/13/2015,25,21,18,19,17,14,92,70,39,1008,1001,994,3,3,3,26,13,,13.97,8,,-1
1/14/2015,22,20,18,19,16,13,92,77,62,1007,1001,995,10,9,8,32,19,,0,8,,-1
1/15/2015,19,17,14,14,12,9,83,66,51,1010,1008,1007,,,,26,19,,0,8,,-1
1/16/2015,26,19,12,13,9,8,72,45,23,1010,1007,1004,,,,27,14,,0,8,,-1
1/17/2015,23,19,15,12,11,9,69,52,30,1014,1010,1007,,,,35,26,,0,8,,-1
1/18/2015,19,17,14,11,8,6,61,47,39,1019,1016,1013,,,,29,21,,0,8,,-1
1/19/2015,23,17,11,11,8,6,60,47,27,1019,1016,1012,,,,24,14,,0,8,,-1
