CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/1/2015,6,1,-4,1,-2,-4,100,81,48,1038,1036,1033,27,7,0,21,6,,0,8,Fog,183
1/2/2015,10,6,1,8,3,-2,93,79,50,1037,1033,1030,26,10,5,19,13,,0,8,,233
1/3/2015,13,6,-1,12,6,-1,100,93,78,1036,1026,1019,16,7,0,35,11,61,5.08,8,Fog-Rain,224
1/4/2015,6,3,-1,6,1,-2,93,81,62,1038,1035,1028,19,10,5,16,8,,0.25,7,,79
1/5/2015,2,-1,-4,2,-1,-4,100,95,86,1038,1033,1028,6,3,0,13,6,,0,8,Fog,132
1/6/2015,6,2,-2,4,1,-2,100,92,79,1028,1025,1024,14,7,0,14,8,,0,8,Fog,197
1/7/2015,6,3,0,4,2,0,100,95,83,1032,1030,1028,14,4,0,16,8,,0,7,Fog,194
1/8/2015,11,8,4,9,7,4,94,84,67,1035,1028,1023,31,11,6,32,16,47,4.06,7,Rain,233
1/9/2015,15,11,7,12,8,5,94,81,68,1034,1028,1025,29,11,3,40,23,66,0.25,8,Rain,235
1/10/2015,14,11,8,12,9,2,94,76,62,1026,1022,1019,18,10,10,39,29,58,0.76,8,Rain,258
1/11/2015,9,7,4,3,2,1,81,69,47,1030,1027,1022,19,10,10,27,14,,0,6,,270
1/12/2015,9,8,6,6,4,2,82,72,55,1029,1023,1017,18,10,10,34,24,53,0,8,,216
1/13/2015,11,9,8,8,6,4,87,78,61,1017,1011,1008,31,11,3,37,26,64,2.03,6,Rain,219
1/14/2015,9,7,4,6,3,2,87,74,55,1016,1013,1010,27,11,10,37,23,63,1.02,6,Rain,230
1/15/2015,11,8,6,8,6,3,87,72,51,1011,1003,999,19,11,10,45,34,76,0.51,8,Rain,217
1/16/2015,8,7,5,5,3,3,93,79,62,1012,1007,1005,27,11,5,21,13,,0,7,Rain,202
1/17/2015,7,3,1,3,1,-2,100,84,48,1019,1016,1012,26,9,3,16,8,,0,6,,247
1/18/2015,7,3,1,2,1,-1,93,79,54,1018,1013,1010,31,12,10,21,11,,0,7,,174
1/19/2015,3,2,1,1,0,-2,100,84,64,1013,1012,1011,24,11,6,14,6,,0,8,Rain-Snow,4
1/20/2015,3,0,-2,0,-1,-3,100,88,67,1014,1012,1011,14,6,0,13,5,,0,7,Fog,107
1/21/2015,4,1,-2,0,-2,-4,93,79,63,1012,1009,1007,24,12,10,16,11,,0,8,,117
1/22/2015,1,-1,-3,-1,-2,-4,93,89,77,1023,1016,1011,10,6,3,14,10,,0,8,,9
1/23/2015,3,1,-1,-2,-3,-4,93,78,62,1028,1026,1023,7,6,3,14,10,,0,7,,340
1/24/2015,7,2,-2,3,-1,-3,100,80,50,1032,1026,1022,31,9,2,32,13,,2.03,7,Rain-Snow,284
1/25/2015,7,2,-2,2,1,-2,100,83,57,1034,1032,1030,27,10,5,11,5,,0,8,,257
1/26/2015,9,7,4,8,5,1,100,87,65,1030,1025,1022,29,10,3,19,11,,0,8,Rain,276
1/27/2015,7,4,2,3,2,1,100,81,63,1029,1027,1026,29,12,6,13,8,,0,7,,294
1/28/2015,9,7,4,7,4,0,93,79,59,1026,1014,1005,27,11,4,34,14,74,2.03,8,Rain,245
1/29/2015,6,3,1,5,2,-1,93,80,59,1006,992,978,19,10,1,32,18,53,2.03,7,Fog-Rain-Snow-Thunderstorm,250
1/30/2015,5,3,1,2,0,-2,96,85,66,983,981,978,26,10,6,24,16,40,2.03,7,Rain-Snow,270
1/31/2015,6,3,0,2,1,-1,100,87,65,990,985,982,24,11,9,26,10,,2.03,7,Rain,270
2/1/2015,4,3,2,2,1,-1,93,82,68,1004,997,990,27,12,10,24,18,,0.51,8,Rain,299
2/2/2015,4,2,1,1,-2,-6,100,73,40,1007,1005,1004,31,12,5,13,10,,0,7,Rain-Snow,301
2/3/2015,4,1,-1,-3,-4,-6,86,71,35,1009,1005,1003,26,13,10,14,3,,0,7,,28
2/4/2015,4,2,-1,0,-2,-4,93,74,42,1020,1014,1009,29,11,5,21,11,,0,5,,17
2/5/2015,3,1,-1,0,-3,-7,93,73,50,1022,1020,1019,26,11,6,32,14,,0,7,,26
2/6/2015,1,-1,-2,-5,-6,-7,75,64,50,1025,1022,1020,18,11,10,34,23,,0,6,,34
2/7/2015,6,1,-3,1,-5,-7,81,60,28,1033,1029,1024,19,11,10,24,18,,0,8,,31
2/8/2015,7,4,1,3,1,-1,93,75,48,1037,1034,1032,19,12,6,24,13,,0,8,Rain,11
2/9/2015,4,1,-3,2,0,-4,100,88,75,1036,1034,1032,11,8,3,13,6,,0,7,,349
2/10/2015,7,4,1,2,1,0,93,82,57,1034,1031,1028,27,9,5,19,10,,0,8,,54
2/11/2015,8,4,-1,2,1,-1,93,74,50,1028,1024,1021,31,11,5,19,13,,0,6,,82
2/12/2015,8,2,-3,2,-1,-3,100,89,52,1022,1021,1019,9,3,1,10,5,,0,5,Fog,18
2/13/2015,13,6,-2,6,2,-2,100,78,38,1020,1012,1006,26,8,2,40,13,55,0.51,7,Rain,174
2/14/2015,9,7,5,6,5,3,100,86,65,1006,1004,1002,31,11,5,26,19,,1.02,7,Rain,170
2/15/2015,8,6,4,5,4,4,100,85,66,1017,1010,1005,31,12,5,16,10,,0,8,,58
2/16/2015,11,6,0,6,3,0,100,85,51,1022,1018,1017,18,8,0,21,5,,0,7,Fog,163
2/17/2015,7,4,2,5,3,1,93,84,66,1042,1032,1022,31,11,5,21,10,,0,8,,352
2/18/2015,4,2,-1,3,1,-2,100,93,80,1042,1040,1036,18,4,0,10,5,,0,7,Fog,21
2/19/2015,8,4,1,2,1,0,100,76,52,1036,1029,1022,13,8,3,24,10,,0,8,,200
2/20/2015,8,6,4,6,4,1,93,82,59,1022,1011,1000,31,12,6,34,23,48,5.08,8,Rain,209
2/21/2015,6,4,2,4,2,0,94,85,66,1007,1002,1000,29,12,6,19,13,,3.05,7,Rain-Snow,282
2/22/2015,9,4,-1,3,0,-2,100,75,37,1014,1010,1003,21,10,0,34,11,50,3.05,5,Fog-Rain,230
2/23/2015,12,8,4,7,3,0,100,76,42,1003,999,996,19,10,3,37,21,72,3.05,7,Rain,241
2/24/2015,9,6,2,5,2,0,87,73,56,1019,1010,1002,27,11,10,26,18,,1.02,5,Rain,257
2/25/2015,8,4,2,7,4,0,100,90,74,1021,1019,1017,23,10,0,14,10,,0.51,8,Fog-Rain,183
2/26/2015,11,8,4,11,8,4,100,95,83,1021,1016,1011,19,5,0,23,6,,3.05,8,Fog-Rain,207
2/27/2015,9,4,1,5,-1,-3,81,60,30,1024,1019,1012,23,11,10,26,18,,0,6,,332
2/28/2015,9,3,-2,6,0,-4,87,72,40,1024,1017,1009,29,12,10,32,11,48,4.06,8,,173
