AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/1/2015,30,26,22,22,19,18,89,67,44,1015,1013,1010,23,11,4,39,18,48,0,3,Rain,35
1/2/2015,26,23,21,22,21,18,100,85,68,1020,1017,1015,23,10,8,35,23,48,0,6,Rain,175
1/3/2015,31,27,23,22,21,18,94,71,41,1020,1017,1015,31,12,10,48,19,61,0,2,,35
1/4/2015,33,27,22,21,20,18,88,68,39,1019,1015,1011,31,13,10,53,26,69,0,3,,51
1/5/2015,25,23,21,21,19,17,94,78,56,1020,1019,1017,26,11,10,35,26,,0,6,,165
1/6/2015,28,24,21,21,20,17,94,77,42,1021,1020,1018,31,12,10,24,16,,0,4,,144
1/7/2015,31,27,22,21,18,12,94,61,22,1021,1018,1016,31,13,10,42,14,,0,3,,50
1/8/2015,31,26,21,19,17,14,73,58,32,1018,1013,1009,31,16,10,52,23,71,0,2,,25
1/9/2015,32,27,22,21,19,18,83,64,36,1011,1009,1006,26,16,10,42,21,58,0.25,1,Rain-Thunderstorm,40
1/10/2015,28,24,21,22,21,19,100,80,51,1014,1010,1007,31,11,5,47,16,63,5.08,6,Rain-Thunderstorm,120
1/11/2015,22,21,20,21,20,19,94,92,84,1014,1012,1010,26,10,6,34,26,48,3.05,6,Rain,174
1/12/2015,23,21,20,20,19,17,94,82,69,1015,1013,1012,26,11,8,40,32,61,1.02,6,Rain,184
1/13/2015,27,23,19,21,19,18,100,80,54,1012,1007,1001,26,11,4,40,21,60,0.25,6,Rain,21
1/14/2015,34,28,23,23,17,13,94,54,19,1001,998,996,31,14,10,45,23,53,0.25,4,Rain,300
1/15/2015,26,23,22,19,16,13,73,56,40,1007,1004,1000,31,13,10,32,23,,0,2,,178
1/16/2015,28,24,21,19,18,17,88,64,41,1009,1006,1004,31,14,10,27,14,,0,4,,98
1/17/2015,35,28,21,21,12,5,88,40,9,1010,1007,1005,31,19,10,34,16,50,0,1,,295
1/18/2015,27,24,21,21,18,17,88,70,49,1013,1011,1009,26,11,10,29,24,,0,4,,163
1/19/2015,23,21,20,18,15,12,83,65,45,1017,1014,1012,26,11,8,35,27,,0,6,Rain,159
1/20/2015,26,22,18,19,17,14,94,72,40,1016,1013,1009,26,11,5,37,18,,0,5,Rain,49
1/21/2015,28,23,19,21,19,17,94,70,41,1014,1011,1009,26,11,4,35,19,37,0.25,3,Rain-Thunderstorm,71
1/22/2015,28,26,22,21,19,17,88,66,43,1014,1012,1010,26,12,10,35,16,,0,2,,47
1/23/2015,31,27,23,21,20,19,83,66,41,1011,1008,1005,31,13,10,47,21,55,0,3,,27
1/24/2015,31,27,23,22,19,16,89,62,30,1008,1006,1003,31,14,10,39,26,,0,2,Rain-Thunderstorm,31
1/25/2015,35,28,21,22,19,15,89,64,23,1009,1003,1001,31,15,10,50,18,69,0,2,Rain,304
1/26/2015,22,21,19,19,18,17,95,85,71,1015,1012,1009,26,9,3,34,27,53,3.05,7,Rain,182
1/27/2015,20,19,18,19,18,16,100,92,82,1014,1012,1011,18,8,1,27,18,,11.94,6,Rain,139
1/28/2015,21,19,17,18,16,13,94,81,59,1014,1013,1011,26,9,4,39,23,52,5.08,6,Rain,182
1/29/2015,21,18,15,14,11,9,77,58,40,1013,1011,1010,31,12,10,48,35,64,0,2,,203
1/30/2015,25,19,14,16,11,7,73,54,22,1011,1008,1005,31,13,10,35,23,,0,3,,221
1/31/2015,25,21,17,15,12,9,77,53,28,1009,1007,1005,26,12,10,24,14,,0,2,,178
2/1/2015,24,22,19,18,16,15,83,69,48,1012,1009,1007,31,13,10,32,16,,0,5,Rain,189
2/2/2015,22,21,19,17,16,12,83,68,47,1020,1015,1011,31,12,10,52,32,55,0,3,Rain-Thunderstorm,187
2/3/2015,23,21,20,16,13,11,73,56,37,1020,1018,1016,31,13,10,35,27,,0,3,Rain,167
2/4/2015,23,20,17,18,15,13,94,66,49,1019,1016,1014,31,13,8,37,16,55,0,5,Rain,214
2/5/2015,23,21,18,18,14,13,88,61,43,1026,1023,1019,26,11,8,35,24,52,0,6,Rain,132
2/6/2015,26,22,18,16,14,12,83,61,36,1028,1026,1025,31,12,10,21,13,,0,4,,167
2/7/2015,27,23,19,17,15,14,78,58,37,1026,1023,1020,31,13,10,29,13,,0,5,Rain,357
2/8/2015,33,26,19,23,17,13,94,59,26,1021,1018,1015,31,20,10,23,13,,0,1,,4
2/9/2015,27,24,22,23,19,18,94,75,53,1025,1023,1019,31,11,8,42,24,58,0,5,Rain,159
2/10/2015,27,24,22,20,19,18,88,72,51,1025,1023,1022,31,12,10,29,16,,0,4,,121
2/11/2015,30,26,22,20,18,15,88,62,31,1024,1022,1019,31,13,10,35,18,,0,2,Rain,42
2/12/2015,29,26,22,20,19,16,88,67,38,1024,1021,1019,31,12,6,29,16,,0,2,Rain-Thunderstorm,87
2/13/2015,27,23,20,21,19,16,100,78,45,1025,1023,1021,31,10,1,32,21,,0.25,5,Rain-Thunderstorm,157
2/14/2015,28,24,21,21,19,16,94,69,37,1024,1021,1018,31,12,10,34,14,,0.51,5,Rain-Thunderstorm,2
2/15/2015,29,24,19,20,18,16,94,67,43,1018,1016,1014,31,13,8,29,14,,0,3,Fog,15
2/16/2015,29,26,22,19,17,15,73,58,35,1018,1016,1014,31,13,10,37,24,,0,4,,36
2/17/2015,29,26,22,19,17,11,78,58,24,1019,1017,1016,31,13,10,42,23,,0,2,,36
2/18/2015,29,26,23,19,17,16,73,58,34,1021,1019,1018,31,12,10,37,23,,0,1,,43
2/19/2015,27,24,22,20,19,17,88,70,50,1022,1020,1018,26,12,10,29,14,,0,4,Rain,64
2/20/2015,27,24,21,21,19,17,88,75,44,1019,1017,1015,26,12,6,27,13,,0,6,Rain,82
2/21/2015,24,22,21,21,20,18,94,84,73,1017,1016,1015,31,11,2,26,16,,2.03,6,Rain,131
2/22/2015,27,23,20,21,19,18,94,74,49,1018,1017,1016,31,12,7,27,14,,0,3,Rain,82
2/23/2015,27,24,22,21,19,18,88,72,50,1018,1015,1013,31,12,10,29,14,,0,4,Rain,51
2/24/2015,24,22,21,21,19,18,94,82,69,1017,1015,1012,31,11,10,50,19,52,0,5,Rain,182
2/25/2015,23,21,19,20,17,16,94,78,56,1016,1015,1013,26,10,4,34,21,50,10.92,6,Rain,183
2/26/2015,27,23,19,21,18,16,94,72,50,1013,1009,1006,26,12,10,21,11,,0,6,Rain,121
2/27/2015,27,24,21,21,19,17,94,73,48,1011,1009,1008,31,12,9,24,18,,0,3,Rain,148
2/28/2015,28,24,20,21,19,16,94,69,38,1011,1009,1007,31,14,10,35,16,,0,3,,25
