EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/1/2015,-2,-6,-8,-7,-12,-16,69,59,40,1015,1012,1009,24,22,2,32,21,47,1.02,7,Snow,241
1/2/2015,-2,-6,-8,-4,-9,-12,86,64,36,1031,1023,1014,24,19,1,21,13,32,0.51,6,Snow,275
1/3/2015,1,-4,-9,1,-4,-12,100,88,75,1031,1023,1010,24,13,1,26,11,35,4.06,7,Rain-Snow,105
1/4/2015,3,0,-4,3,-1,-9,100,91,69,1012,1005,999,24,8,1,26,8,47,5.08,8,Fog-Rain-Snow,287
1/5/2015,-9,-11,-13,-10,-17,-21,79,58,36,1031,1024,1013,24,22,2,37,24,53,0,4,,269
1/6/2015,-8,-11,-14,-14,-16,-18,79,65,50,1029,1021,1012,24,21,8,23,13,34,0,7,Snow,245
1/7/2015,-16,-18,-21,-13,-22,-27,79,61,33,1029,1021,1010,24,22,2,32,18,47,0.25,3,,328
1/8/2015,-10,-16,-21,-13,-17,-24,79,65,49,1027,1021,1009,24,19,1,32,18,48,0.76,7,Snow,231
1/9/2015,-6,-9,-12,-10,-14,-17,86,71,46,1021,1011,1005,24,14,1,40,19,58,0.51,4,Snow,254
1/10/2015,-10,-13,-16,-16,-17,-19,78,67,45,1031,1027,1021,24,24,24,29,19,45,0,2,,238
1/11/2015,-1,-8,-14,-7,-11,-17,80,63,39,1030,1028,1025,24,24,19,21,8,,0.51,7,Snow,222
1/12/2015,-1,-8,-16,-3,-8,-20,100,79,60,1036,1026,1023,24,10,1,32,10,40,1.02,6,Snow,268
1/13/2015,-11,-16,-21,-20,-25,-27,78,49,21,1045,1042,1037,24,23,13,27,14,,0,1,Snow,39
1/14/2015,-4,-10,-16,-11,-14,-18,92,72,43,1036,1028,1024,24,22,19,10,5,,0,2,Snow,27
1/15/2015,-4,-9,-14,-7,-12,-15,85,71,47,1024,1016,1008,24,19,14,24,11,37,0,7,Snow,230
1/16/2015,-9,-12,-14,-5,-13,-17,86,66,41,1026,1016,1007,24,19,2,34,21,53,0.51,4,Rain-Snow,321
1/17/2015,-2,-6,-9,-3,-8,-15,93,77,58,1023,1013,1006,24,24,24,24,18,35,0.25,8,,127
1/18/2015,4,0,-4,2,1,-1,100,86,63,1008,1005,1003,24,19,1,23,16,35,1.02,8,Rain-Snow,233
1/19/2015,-3,-6,-9,-3,-8,-11,86,76,54,1016,1013,1008,24,24,24,26,16,35,0,5,,319
1/20/2015,-7,-11,-14,-12,-16,-18,86,66,42,1021,1018,1015,24,24,24,13,10,,0,2,,344
1/21/2015,-4,-10,-16,-7,-12,-18,92,79,70,1022,1021,1020,24,23,19,13,6,,0,5,,39
1/22/2015,-1,-7,-12,-7,-9,-13,100,74,46,1029,1026,1022,24,24,19,16,8,,0,4,,306
1/23/2015,2,-1,-5,-5,-7,-8,93,70,48,1027,1019,1010,24,23,19,26,16,47,0,4,,231
1/24/2015,0,-3,-6,-2,-4,-7,100,87,75,1009,1002,998,24,10,2,29,8,39,0.51,7,Snow,245
1/25/2015,-4,-9,-14,-5,-17,-22,80,60,31,1020,1013,1001,24,24,23,37,26,47,0,3,Snow,350
1/26/2015,-8,-12,-16,-16,-21,-22,67,48,20,1020,1017,1016,24,23,19,21,13,29,0,6,Snow,56
1/27/2015,-7,-10,-13,-16,-18,-21,79,53,22,1022,1019,1016,24,19,3,23,14,,0.51,5,Snow,3
1/28/2015,-1,-8,-16,-12,-17,-20,67,50,23,1028,1025,1022,24,23,19,13,8,,0,1,,315
1/29/2015,-1,-4,-8,-2,-7,-14,100,75,47,1025,1014,1007,24,8,0,27,10,27,7.11,7,Rain-Snow,202
1/30/2015,-11,-13,-15,-5,-15,-21,80,69,38,1030,1022,1011,24,22,16,47,24,61,0,4,Snow,331
1/31/2015,-3,-12,-20,-6,-14,-23,80,70,42,1029,1026,1022,24,20,11,14,5,,0,6,Snow,231
2/1/2015,-11,-13,-15,-5,-16,-22,86,67,33,1027,1023,1014,24,16,1,24,14,34,6.1,8,Snow,35
2/2/2015,-12,-14,-16,-18,-19,-20,85,71,50,1021,1012,1006,24,12,0,35,21,45,5.08,4,Snow,354
2/3/2015,-5,-11,-16,-12,-15,-19,78,67,50,1022,1021,1020,24,23,4,23,10,34,0.25,7,Snow,241
2/4/2015,-2,-6,-9,-4,-7,-11,100,86,66,1020,1016,1012,24,7,2,24,8,32,1.02,8,Snow,287
2/5/2015,-10,-13,-16,-12,-18,-22,85,62,27,1029,1025,1019,24,21,8,23,13,,0,2,Snow,315
2/6/2015,-4,-9,-14,-9,-12,-19,85,70,48,1022,1018,1017,24,17,2,26,18,37,0.25,6,Snow,245
2/7/2015,-4,-6,-8,-5,-7,-10,93,87,68,1018,1015,1013,16,5,1,21,10,,3.05,8,Snow,115
2/8/2015,-11,-12,-14,-11,-13,-16,92,88,79,1018,1014,1011,14,8,3,23,13,,1.02,8,Snow,54
2/9/2015,-11,-12,-14,-13,-15,-16,85,81,72,1024,1020,1018,24,18,14,16,13,,0,8,Snow,21
2/10/2015,-4,-8,-12,-10,-12,-13,93,77,58,1027,1025,1023,24,24,19,13,6,,0,5,Snow,7
2/11/2015,-2,-8,-13,-4,-8,-13,93,85,69,1024,1016,1009,24,10,0,23,10,29,1.02,7,Snow,191
2/12/2015,-9,-13,-19,-5,-18,-26,86,64,41,1025,1015,1008,24,23,13,42,21,55,0.25,2,Snow,315
2/13/2015,-11,-18,-24,-13,-23,-29,85,59,39,1027,1023,1013,24,19,4,23,11,34,0.51,4,Snow,248
2/14/2015,-8,-13,-20,-9,-15,-25,93,73,44,1015,1006,1002,24,10,1,37,18,48,0.51,6,Snow,278
2/15/2015,-20,-23,-27,-26,-29,-33,65,54,34,1031,1027,1016,24,20,6,40,31,55,0,1,Snow,336
2/16/2015,-13,-19,-25,-23,-29,-31,56,40,14,1031,1026,1019,24,24,24,26,11,,0,3,,342
2/17/2015,-8,-13,-19,-16,-21,-26,73,50,23,1018,1013,1011,24,22,16,14,5,,0,6,,262
2/18/2015,-8,-13,-18,-12,-16,-21,85,71,38,1011,1009,1006,24,13,1,24,5,29,0.51,7,Snow,311
2/19/2015,-17,-19,-22,-19,-25,-29,72,56,33,1022,1017,1011,24,24,19,39,19,50,0,1,,317
2/20/2015,-14,-18,-23,-24,-27,-29,65,49,21,1028,1026,1023,24,24,24,21,14,27,0,2,,267
2/21/2015,-7,-12,-17,-9,-13,-23,93,79,47,1025,1019,1014,24,7,2,13,3,,4.06,8,Snow,216
2/22/2015,-4,-12,-19,-7,-15,-23,93,79,60,1030,1024,1020,24,14,2,26,5,35,0.25,6,Snow,313
2/23/2015,-15,-18,-22,-22,-26,-28,65,51,28,1036,1033,1029,24,24,24,23,18,34,0,1,Snow,291
2/24/2015,-9,-14,-20,-12,-19,-25,86,66,46,1027,1013,1004,24,17,2,26,16,40,0.25,7,Snow,217
2/25/2015,-10,-13,-17,-11,-18,-22,86,61,33,1021,1012,1002,24,23,19,32,14,47,0,3,Snow,299
2/26/2015,-11,-16,-21,-21,-22,-25,78,57,29,1026,1022,1020,24,23,18,21,10,,0,6,,358
2/27/2015,-9,-17,-24,-18,-22,-28,78,58,32,1038,1032,1027,24,24,24,19,8,,0,1,,278
2/28/2015,-4,-13,-21,-14,-18,-24,72,59,40,1043,1040,1038,24,24,24,19,8,,0,0,,245
3/1/2015,-3,-10,-17,-7,-12,-20,80,73,53,1038,1029,1021,24,19,6,11,3,,0,7,Snow,260
3/2/2015,-3,-6,-13,-7,-12,-15,97,65,35,1031,1025,1020,24,18,3,32,11,45,0.51,4,Snow,272
3/3/2015,-1,-10,-18,-2,-11,-21,100,86,63,1030,1017,1002,24,9,1,23,8,32,3.05,7,Rain-Snow,167
3/4/2015,0,-4,-9,-2,-7,-13,87,69,52,1020,1011,1004,24,20,16,34,14,45,0,7,Snow,286
